,Track name,Artists,Album Name,Album ID,Track ID,Popularity,Release date,Duration (ms),Explicit,External urls,Danceability,Energy,Key,Loudness,Speechiness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo
56,Ghreena,Fossils,Ghreena,3p5vinoCBtME7QJppYUxHB,6Z3LdNx8yIOUM1oEL3yMDH,28,2019-02-07,437131,False,https://open.spotify.com/track/6Z3LdNx8yIOUM1oEL3yMDH,0.453,0.645,2,-8.49,0.0339,1,0.151,0.000477,0.124,0.127,91.449
57,Aniket Prantor,Artcell,Oniket Prantor,77Guu3HdfaMtpreKs0xIzb,4X6kRZnZM8mZPkeMUmn8G6,22,2006-04-01,980080,False,https://open.spotify.com/track/4X6kRZnZM8mZPkeMUmn8G6,0.5,0.923,10,-5.892,0.0888,1,0.0374,0.00354,0.114,0.5,137.998
58,Obosthan,HIGHWAY,Obosthan,3G19EnZhjQSyEGW1q5OQUq,7Ka7NGOzmU1cnAyzma5Ens,50,2016-08-17,304000,False,https://open.spotify.com/track/7Ka7NGOzmU1cnAyzma5Ens,0.667,0.255,3,-14.011,0.036,1,0.706,1.16e-06,0.0948,0.165,129.922
59,Shey Jey Boshey Achey,Arnob,Chaina Bhabish,1TQxmprNMcSM5Qem5Y0wgL,1g1iF9zlzJUpVDTUaCOpp1,43,2017-09-14,210051,False,https://open.spotify.com/track/1g1iF9zlzJUpVDTUaCOpp1,0.684,0.252,4,-21.307,0.0346,1,0.444,0.000219,0.109,0.295,129.971
60,Karone Okarone,Minar Rahman,Karone Okarone,08u3jCgbWQUWrzURD2ZWuM,1b5kTQqBybGOwzqDPZwfBi,56,2017,316714,False,https://open.spotify.com/track/1b5kTQqBybGOwzqDPZwfBi,0.692,0.491,8,-7.685,0.0281,1,0.326,0.0,0.109,0.559,140.006
61,Ei Obelay,Shironamhin,Perfume,6CL5dmZep8ThOIisw1vWR7,5ibdXIQq154EYy4IbSZEKx,50,2023-02-01,341023,False,https://open.spotify.com/track/5ibdXIQq154EYy4IbSZEKx,0.503,0.511,2,-8.301,0.0304,0,0.595,0.00257,0.0847,0.234,147.883
62,Purnata,Warfaze,Shotto,3OXzR6q3oubuiAm90kJAYI,1Hu5kkx4WAnpsmYJClkjQX,19,2019-02-05,359631,False,https://open.spotify.com/track/1Hu5kkx4WAnpsmYJClkjQX,0.576,0.702,3,-7.441,0.0326,1,0.574,0.0,0.197,0.396,119.958
63,Na,Warfaze,Shotto,3OXzR6q3oubuiAm90kJAYI,74sp39BDgpwnQNoxDhYzr0,5,2019-02-05,290110,False,https://open.spotify.com/track/74sp39BDgpwnQNoxDhYzr0,0.636,0.942,6,-5.014,0.0489,1,0.0167,0.00042,0.079,0.668,105.012
64,Agami,Warfaze,Shotto,3OXzR6q3oubuiAm90kJAYI,2BiSILrk04ml7kc5rN9t8m,2,2019-02-05,376442,False,https://open.spotify.com/track/2BiSILrk04ml7kc5rN9t8m,0.504,0.849,1,-5.972,0.0349,0,0.0225,0.0,0.318,0.524,172.051
65,Jonosrot,Warfaze,Shotto,3OXzR6q3oubuiAm90kJAYI,0v8iO9xYlqoPynGR6U0Qop,1,2019-02-05,408718,False,https://open.spotify.com/track/0v8iO9xYlqoPynGR6U0Qop,0.588,0.898,8,-5.427,0.0324,0,0.0181,1.47e-06,0.0785,0.341,130.078
